Who was the first human to travel into space?;Yuri Gagarin;Neil Armstrong;John Glenn;Buzz Aldrin
What was the name of the first artificial satellite launched into space?;Sputnik 1;Explorer 1;Apollo 1;Vanguard 1
Which country was the first to send a probe to land on Venus?;Soviet Union;United States;China;Japan
What year did humans first land on the Moon?;1969;1965;1971;1975
Who was the first American woman to go into space?;Sally Ride;Mae Jemison;Valentina Tereshkova;Peggy Whitson
Which of these missions was the first successful Mars rover?;Sojourner;Opportunity;Curiosity;Spirit
What is the main purpose of the Hubble Space Telescope?;To take images of deep space;To explore Mars;To monitor asteroids;To study the Sun
Which spacecraft was the first to reach interstellar space?;Voyager 1;Pioneer 10;New Horizons;Voyager 2
Who was the first person to perform a spacewalk (extravehicular activity)?;Alexei Leonov;Neil Armstrong;Buzz Aldrin;John Glenn
What is the primary mission of the James Webb Space Telescope?;To study exoplanets and distant galaxies;To monitor Earth's weather patterns;To search for life on Mars;To replace the Hubble Space Telescope for Solar System exploration
Which was the first space shuttle to be launched by NASA?;Columbia;Discovery;Atlantis;Challenger
What is the name of NASA’s current Mars rover, which landed in 2021?;Perseverance;Curiosity;Spirit;Opportunity
What was the name of the USA's space program that aimed to land humans on the Moon before the USSR?;Apollo;Gemini;Mercury;Saturn
The International Space Station (ISS) orbits Earth approximately every:;90 minutes;24 hours;6 hours;12 hours
Which was the first spacecraft to land on the far side of the Moon?;Chang’e 4;Apollo 11;Luna 2;Surveyor 1
